Date,Risk Identification,Risk Tracking,Risk Mitigation
10-02-2021,99,34,6
10-06-2021,20,29,55
01-07-2020,15,6,36
10-03-2023,10,44,81
28-12-2021,80,15,94
11-07-2021,23,76,1
03-11-2020,64,19,69
10-12-2023,19,86,88
29-03-2020,80,31,67
06-08-2021,100,69,60
15-03-2021,47,68,31
19-02-2020,91,34,86
02-07-2022,45,82,38
22-08-2022,18,80,65
06-12-2021,84,7,73
29-04-2021,39,87,53
08-06-2020,63,15,12
07-11-2021,56,51,60
18-04-2023,30,1,43
20-06-2022,19,46,4
26-01-2023,5,9,11
30-09-2021,65,92,99
27-04-2020,16,75,82
16-08-2021,28,6,77
14-01-2020,78,91,8
22-09-2021,55,83,50
28-12-2020,25,60,50
13-01-2020,97,63,32
25-01-2020,8,88,95
11-01-2020,85,63,40
01-09-2020,68,92,93
29-11-2023,34,18,34
08-10-2022,90,3,9
14-01-2021,96,82,90
14-02-2021,59,21,64
03-09-2023,53,81,54
20-01-2021,61,29,47
16-09-2022,4,22,95
31-12-2020,59,32,26
06-10-2021,80,64,26
05-06-2020,94,79,8
06-06-2021,54,54,69
03-06-2022,92,92,57
17-01-2022,32,100,6
13-12-2021,86,59,58
26-03-2021,69,74,8
01-06-2020,73,29,15
01-02-2022,13,77,51
14-07-2023,8,98,43
02-03-2021,77,97,14
22-05-2020,93,20,75
04-04-2023,80,73,7
04-11-2022,24,79,49
18-08-2021,43,81,81
02-03-2022,61,67,16
06-01-2021,67,49,67
02-01-2020,45,2,85
13-02-2020,91,78,23
05-04-2023,1,66,10
17-07-2020,41,42,65
05-07-2020,23,19,49
12-05-2020,2,66,84
09-08-2020,73,96,14
21-08-2020,61,100,88
11-05-2023,33,49,21
02-10-2022,37,13,88
11-11-2021,61,60,33
14-05-2021,66,62,52
08-12-2022,89,93,66
20-11-2021,16,21,91
13-03-2022,27,29,35
16-11-2020,34,80,13
16-08-2022,64,99,24
21-06-2020,80,55,56
02-10-2022,2,51,40
20-01-2020,56,51,30
05-07-2023,78,53,56
08-09-2022,43,66,100
26-01-2021,1,37,56
22-10-2021,46,89,46
30-07-2020,82,43,72
19-12-2023,23,31,87
01-06-2020,48,22,18
08-04-2022,23,10,39
21-01-2022,15,40,5
07-03-2023,62,9,48
05-11-2023,90,42,35
05-04-2021,96,91,24
29-07-2021,15,35,91
16-10-2022,48,86,90
14-11-2023,19,56,41
28-06-2022,19,24,12
07-07-2021,13,10,59
24-04-2021,60,33,83
28-03-2021,46,28,12
29-12-2022,12,49,37
11-12-2021,42,3,65
07-05-2023,14,33,82
15-07-2021,33,48,36
12-09-2020,35,63,16
14-06-2020,100,96,23
22-02-2023,44,54,26
16-09-2021,52,40,17
11-12-2022,31,6,69
27-03-2020,17,95,12
07-08-2022,23,69,34
26-09-2020,62,6,82
09-04-2023,21,53,87
11-07-2023,77,37,25
20-05-2020,8,48,46
20-05-2023,50,28,94
29-08-2021,78,45,16
21-03-2021,85,75,31
13-04-2022,93,34,30
07-09-2023,2,93,16
16-09-2022,60,11,5
09-08-2020,47,91,23
12-03-2021,24,74,25
15-03-2020,95,93,42
05-07-2022,17,95,95
01-12-2023,57,7,4
11-03-2022,80,26,20
24-05-2020,34,85,24
22-12-2023,40,61,4
14-11-2023,12,31,74
13-05-2023,51,50,47
13-01-2022,82,43,46
30-06-2020,79,42,46
25-12-2020,85,10,84
11-08-2022,85,52,89
13-07-2021,69,10,43
28-02-2022,49,32,83
11-07-2022,34,72,11
14-11-2023,89,95,34
27-05-2022,79,51,70
20-04-2020,79,64,59
02-03-2023,31,53,51
16-10-2022,74,77,29
24-01-2021,8,30,77
23-08-2020,29,23,24
14-04-2023,52,36,15
16-03-2020,66,24,98
16-11-2020,67,34,56
03-03-2021,47,18,76
13-11-2021,5,94,86
25-01-2021,89,11,26
01-09-2020,53,41,61
17-07-2023,32,60,87
16-04-2022,25,31,80
31-07-2020,27,41,12
26-03-2022,63,28,43
28-04-2021,41,74,56
18-08-2021,36,2,72
22-02-2021,59,64,74
11-06-2022,21,30,84
24-11-2022,98,23,10
28-07-2021,57,91,93
27-08-2023,75,17,14
25-04-2022,45,17,9
16-12-2021,95,44,72
03-06-2022,86,93,22
17-07-2022,18,7,7
05-06-2021,62,39,27
26-08-2020,87,12,60
13-12-2023,79,24,61
21-10-2020,66,62,98
29-10-2023,11,78,92
09-01-2023,31,70,32
06-01-2020,70,32,63
30-01-2022,80,40,4
27-08-2020,3,92,15
26-08-2023,83,66,15
21-02-2022,54,84,26
28-01-2021,57,83,60
10-06-2020,14,69,84
24-02-2021,89,75,27
13-10-2022,2,59,55
01-07-2022,60,33,45
17-01-2023,10,71,55
25-08-2020,10,89,5
09-12-2020,75,30,66
02-10-2023,5,46,13
13-02-2021,60,12,84
04-07-2022,63,58,48
20-02-2023,32,53,21
22-10-2022,69,51,38
20-03-2021,74,92,34
04-06-2023,14,76,30
08-04-2022,32,19,50
02-01-2023,17,67,3
27-01-2020,91,37,55
06-07-2023,44,24,88
10-06-2022,58,48,46
02-08-2021,28,22,21
16-10-2020,39,90,89
12-06-2023,7,95,50
01-10-2023,45,38,35
18-09-2020,86,64,81
15-07-2023,27,36,53
30-05-2022,44,79,39
17-03-2020,34,70,28
14-10-2020,94,2,14
24-06-2023,76,23,20
28-04-2022,77,11,42
17-12-2021,51,11,50
04-11-2021,97,25,52
02-07-2020,11,42,42
04-06-2023,3,40,55
05-08-2023,98,17,25
19-12-2021,58,79,81
06-10-2021,93,70,84
17-11-2020,61,11,9
29-10-2023,25,13,76
30-12-2023,68,74,5
04-07-2020,72,98,39
18-02-2020,74,48,19
11-08-2023,12,40,3
19-04-2020,95,21,30
22-08-2023,6,48,21
03-08-2021,61,69,15
28-08-2022,70,58,30
13-06-2021,25,40,57
27-04-2022,23,51,20
29-09-2022,89,90,59
25-04-2021,77,91,94
25-08-2023,51,81,8
07-06-2020,31,80,100
17-09-2022,33,75,93
22-09-2021,17,57,3
24-05-2023,96,7,66
10-05-2022,31,75,37
10-10-2022,47,13,72
16-03-2023,53,21,93
30-07-2021,8,99,86
13-09-2022,51,100,14
13-11-2020,10,58,16
19-12-2023,98,79,55
10-10-2020,39,17,25
07-01-2021,72,44,94
27-01-2020,65,70,88
24-01-2022,98,2,66
08-10-2020,6,74,92
04-06-2020,38,74,41
13-07-2021,21,49,70
22-11-2021,68,50,87
28-12-2020,38,28,68
16-08-2021,40,45,23
05-01-2023,58,13,20
21-04-2021,18,83,76
23-03-2020,22,25,37
24-01-2021,97,28,95
19-01-2020,5,55,28
27-12-2021,5,71,20
12-07-2023,76,26,58
17-03-2021,15,6,12
22-06-2021,32,29,87
28-05-2021,52,88,4
29-11-2020,95,53,36
25-11-2023,43,55,48
13-10-2021,4,85,98
06-08-2023,9,30,62
17-05-2023,11,21,11
14-07-2022,28,61,48
09-08-2022,7,52,49
10-07-2023,11,42,29
24-03-2020,66,71,71
15-10-2023,56,37,9
07-11-2021,26,94,16
14-05-2020,53,45,25
28-02-2023,71,59,79
27-03-2021,66,38,59
20-09-2023,57,47,40
28-05-2020,30,46,95
01-04-2020,22,48,72
02-11-2023,33,44,91
31-03-2022,39,97,89
24-09-2022,68,66,10
01-04-2022,95,63,92
14-12-2020,23,93,65
04-09-2020,99,7,3
03-04-2023,1,26,59
29-06-2021,22,48,26
05-07-2023,67,40,87
23-10-2023,24,13,65
16-12-2023,44,9,22
23-11-2023,59,1,92
02-04-2023,87,28,32
19-08-2020,61,53,3
12-02-2021,73,93,73
22-02-2022,50,71,39
06-10-2022,62,43,12
12-04-2023,67,18,50
14-11-2021,95,7,100
24-11-2023,53,78,43
28-10-2023,79,50,49
12-04-2023,79,18,11
10-03-2022,65,17,59
10-08-2023,16,88,2
17-11-2021,74,24,6
04-06-2021,77,66,63
29-08-2022,4,73,76
16-08-2023,72,17,99
29-09-2020,46,8,61
20-09-2020,9,96,62
08-10-2021,47,60,49
14-11-2023,1,93,22
25-09-2023,54,41,24
11-06-2022,62,9,5
10-07-2023,79,37,19
13-04-2022,18,93,45
07-10-2020,75,36,99
06-09-2022,17,3,49
12-09-2020,35,22,84
18-03-2022,67,35,32
08-01-2021,98,95,59
18-04-2023,77,58,63
18-02-2022,95,62,16
19-02-2023,72,54,92
04-11-2020,81,21,37
30-01-2022,1,57,60
23-10-2020,77,11,20
26-12-2021,43,95,29
09-04-2022,69,40,90
31-08-2020,73,40,16
15-04-2021,11,21,80
22-05-2022,71,6,20
16-09-2022,38,42,98
07-03-2020,50,82,79
15-08-2021,55,94,71
09-11-2022,10,16,8
19-12-2021,77,88,46
13-04-2022,32,79,12
17-01-2022,31,84,82
25-10-2022,53,74,35
13-03-2023,40,41,6
30-06-2022,36,90,9
03-11-2021,86,18,49
25-01-2020,92,12,24
25-11-2022,14,50,40
19-10-2021,75,91,49
28-09-2023,67,44,92
18-08-2020,15,39,8
24-07-2023,53,88,69
09-02-2020,45,91,76
04-01-2023,24,78,94
16-05-2022,27,93,7
15-12-2022,24,44,3
13-07-2023,45,69,92
03-07-2022,89,75,8
13-11-2022,96,77,100
17-11-2020,1,18,25
03-01-2020,79,33,56
18-07-2020,57,3,74
03-11-2021,57,7,24
25-05-2020,21,62,79
05-05-2023,1,18,41
05-08-2023,42,32,29
30-10-2022,81,9,3
31-03-2023,49,26,29
25-11-2021,70,39,40
17-12-2022,48,19,29
28-01-2020,65,4,81
14-05-2022,10,11,30
28-02-2020,14,83,80
09-04-2022,14,53,66
06-06-2020,98,92,47
30-06-2023,6,2,66
18-11-2020,24,89,21
16-11-2020,18,98,30
08-02-2023,23,25,20
06-08-2023,49,25,5
30-10-2022,51,36,67
19-12-2020,92,24,32
12-06-2021,98,98,2
24-04-2022,73,61,24
16-12-2021,93,26,64
14-01-2023,61,59,92
25-06-2020,67,25,80
12-01-2023,53,99,99
28-06-2021,94,63,22
05-06-2021,4,25,20
26-07-2021,23,44,70
25-06-2020,43,84,49
08-10-2022,18,93,76
13-11-2020,79,20,22
31-07-2022,67,25,81
26-12-2021,8,11,90
21-02-2021,78,53,78
17-09-2023,62,34,38
09-09-2023,72,24,33
10-12-2022,51,98,40
25-01-2023,71,66,33
22-09-2023,17,23,37
01-10-2023,85,48,52
10-09-2020,96,30,3
11-07-2023,50,99,92
10-06-2020,96,4,6
21-09-2022,83,64,96
19-08-2020,65,58,59
17-06-2021,56,6,49
10-03-2020,72,42,75
05-11-2023,49,85,13
21-01-2022,25,95,20
25-04-2022,2,15,15
27-02-2020,57,5,44
05-03-2021,40,5,54
28-12-2023,89,54,57
01-04-2023,77,66,70
22-11-2022,39,94,11
07-05-2022,97,70,67
19-05-2021,36,73,88
08-09-2023,51,77,74
04-10-2023,50,42,31
28-04-2023,8,33,40
06-04-2023,28,84,72
24-12-2020,40,83,62
05-05-2021,46,45,83
26-04-2020,76,73,78
27-03-2021,63,22,19
27-04-2021,98,46,77
23-06-2022,28,63,10
20-05-2021,1,39,55
13-04-2022,56,90,45
17-03-2023,89,15,4
13-09-2023,99,17,15
18-07-2020,41,9,97
11-07-2021,63,45,84
14-11-2023,72,92,20
20-06-2023,42,2,94
05-12-2023,12,76,95
29-07-2021,22,56,13
31-12-2023,43,27,42
