Month,Assets Under Management,Net Profit Margin,Customer Churn,Cost Per Acquisition,Stocks,Bonds,Real Estate,Mutual Funds,Monthly Inflow,Monthly Outflow,Customer Age,Customer Age Group,Customer Feedback
06-05-2021,7827357,15.64523485,8.783478394,181,351469,173480,114167,93927,266679,104054,35,31-45,Poor
07-05-2021,7869577,7.216228676,6.127558024,767,388147,119128,364310,415863,343709,340777,51,46-60,Neutral
08-05-2021,8458300,16.33757188,6.816098933,786,236504,393597,76887,72073,165978,437264,63,61+,Good
09-05-2021,9047740,13.23473974,6.014558499,899,258640,173485,465848,310493,253850,425755,34,31-45,Poor
10-05-2021,3281929,9.029174599,8.070292756,699,307263,319382,428848,437661,419298,203311,70,61+,Good
11-05-2021,1518697,12.41755946,5.959004372,201,392806,151051,277551,136257,454339,272681,53,46-60,Good
12-05-2021,8306809,15.45415439,1.999692681,859,380562,437081,116513,187644,410932,249886,68,61+,Excellent
13-05-2021,5411306,5.178296133,8.286221084,817,487919,373074,267202,447166,455183,249920,57,46-60,Neutral
14-05-2021,2391704,14.56200588,7.845266536,188,193877,448866,351946,396722,109413,305538,23,18-30,Excellent
15-05-2021,9589862,13.12386167,8.382705358,444,309532,168913,84026,498517,214113,287098,62,61+,Excellent
16-05-2021,9001482,8.304292516,2.713865171,899,54400,480480,291423,60006,405544,266380,21,18-30,Poor
17-05-2021,4329702,16.29471611,3.444553474,409,353758,174124,264289,221325,392043,152220,54,46-60,Good
18-05-2021,6616112,9.551914769,3.661765275,707,132100,492804,387850,266275,212683,330859,64,61+,Poor
19-05-2021,6413599,9.152913973,5.572724826,539,463725,329951,385077,470947,145463,390025,33,31-45,Poor
20-05-2021,6963322,12.06827523,2.204893757,258,116300,206784,430961,215487,363038,166245,56,46-60,Neutral
21-05-2021,8027145,15.14224518,4.468435779,213,463735,283097,211155,97813,210398,224190,20,18-30,Neutral
22-05-2021,8568434,18.93268964,2.63942345,635,244746,498042,313876,299212,266093,322504,24,18-30,Neutral
23-05-2021,6971214,7.120358647,3.382864417,262,126094,471081,426308,176491,326544,109888,27,18-30,Good
24-05-2021,2657295,10.94702181,7.357488711,385,459391,296896,446158,484076,327368,174827,39,31-45,Neutral
25-05-2021,8553591,6.004843888,8.693300407,964,372786,402955,109853,72013,229611,389604,41,31-45,Excellent
26-05-2021,5079736,16.37826121,1.206152799,154,241195,313289,296208,53244,450921,303583,37,31-45,Poor
27-05-2021,3564411,11.71599335,6.09307267,675,177867,306407,409228,270179,408586,191873,47,46-60,Neutral
28-05-2021,6094397,15.60393703,1.324537859,132,208019,255908,321573,283401,481825,121594,37,31-45,Poor
29-05-2021,6731442,9.83291636,1.767243205,657,195286,162233,276349,244512,325374,107588,18,18-30,Excellent
30-05-2021,9540127,17.66475862,7.345756312,830,268030,236723,218340,127428,317627,397157,63,61+,Good
31-05-2021,9932014,13.02242117,7.620472959,900,178042,187314,369820,353606,360154,246180,62,61+,Neutral
01-06-2021,9776303,19.15411733,8.325826059,295,384479,457048,465733,260485,336373,400316,27,18-30,Good
02-06-2021,9828423,6.182219587,5.268173606,864,278629,245077,113727,465970,143520,398759,20,18-30,Excellent
03-06-2021,6253080,12.71415237,8.738267338,547,191046,109328,145485,70588,338613,151358,62,61+,Poor
04-06-2021,4895942,16.49682869,2.501544625,897,472572,391965,78899,374326,465281,367256,24,18-30,Neutral
05-06-2021,1623354,14.00228972,3.247447723,847,493432,255705,65068,239759,129899,171514,47,46-60,Neutral
06-06-2021,5509935,5.347912106,2.210519328,690,462056,300705,294602,241795,278874,96037,59,46-60,Excellent
07-06-2021,5045533,19.58508018,8.177835345,191,153985,359996,115701,430644,332310,351140,31,31-45,Poor
08-06-2021,3798977,9.473955396,3.058076065,707,362642,314136,390552,288378,178107,290932,47,46-60,Excellent
09-06-2021,9156304,8.739167995,2.399601185,327,109571,86890,267824,204710,493587,288081,58,46-60,Excellent
10-06-2021,1018435,12.28489813,6.607996188,385,319141,406470,145742,50785,130193,365210,50,46-60,Poor
11-06-2021,7339353,13.13237161,1.693738237,973,255982,210466,79269,443443,311994,433107,42,31-45,Excellent
12-06-2021,7782279,16.49432206,1.404102495,334,349044,175027,406944,382627,205302,120865,21,18-30,Neutral
13-06-2021,3859204,10.89910486,1.960458837,201,314597,422738,193291,450693,376608,206023,24,18-30,Neutral
14-06-2021,2505668,11.59940565,1.002167956,863,312682,231029,134694,67211,445467,219139,41,31-45,Neutral
15-06-2021,4890815,13.02439874,7.272911388,239,126151,264984,109043,391574,317594,210555,43,31-45,Good
16-06-2021,4611226,10.9158065,6.060117895,934,80593,115353,207061,471603,349706,216413,32,31-45,Neutral
17-06-2021,4436356,18.71822119,2.888875981,754,183375,73880,115263,322361,411169,272739,48,46-60,Poor
18-06-2021,3529026,17.7687795,3.097044532,851,236645,135520,223478,228560,456331,106440,44,31-45,Neutral
19-06-2021,1448467,11.82460543,8.298717386,365,308740,78975,415468,285632,473854,333160,25,18-30,Good
20-06-2021,8249605,5.002922935,5.516381043,441,108384,242688,274666,61556,317665,161163,66,61+,Excellent
21-06-2021,2182193,18.51401743,7.286755214,672,100543,447226,270740,389248,176248,315405,34,31-45,Neutral
22-06-2021,7386951,6.865048602,5.074799061,634,134092,496726,169432,339058,445071,272765,54,46-60,Neutral
23-06-2021,3892144,8.667686228,3.139462234,622,478243,170003,436711,206776,362811,430882,59,46-60,Poor
24-06-2021,6436327,7.285419265,9.733625206,115,212540,479304,66830,203538,247397,422021,55,46-60,Poor
25-06-2021,5002504,7.69723355,6.09082807,660,497902,434381,471266,463148,115890,361458,42,31-45,Poor
26-06-2021,2710456,17.04316307,2.178837134,977,386371,265497,213936,254296,257555,432509,36,31-45,Good
27-06-2021,7215752,13.69252162,4.65481038,435,280186,352740,150730,306676,323551,214592,34,31-45,Poor
28-06-2021,8756749,19.34142745,3.964036708,489,375319,352797,224749,88199,323289,260282,25,18-30,Neutral
29-06-2021,7738423,8.471802685,2.926787217,269,139268,298216,69641,471993,353006,243208,54,46-60,Poor
30-06-2021,1250565,12.28452362,9.400959903,218,73940,418316,408055,462270,463477,263926,23,18-30,Excellent
01-07-2021,6902723,19.66142554,8.928279959,141,86481,475371,456771,228264,403144,270137,28,18-30,Good
02-07-2021,6091567,17.39665271,2.792324049,109,381384,187421,267718,315483,244097,347254,18,18-30,Neutral
03-07-2021,1039887,15.92923519,4.169331001,529,346122,73347,204307,134709,220580,257342,67,61+,Neutral
04-07-2021,1214089,7.834628021,7.860838525,567,195283,381532,419142,148118,129940,442155,48,46-60,Good
05-07-2021,1241731,16.54108101,2.876554433,148,98866,374385,472175,372678,221878,323245,51,46-60,Good
06-07-2021,7653623,10.21347684,6.324083763,876,348657,366286,484173,227027,219492,271630,34,31-45,Excellent
07-07-2021,4548110,12.95805346,7.298145479,306,125714,456376,287632,142604,319371,426357,23,18-30,Good
08-07-2021,7806465,14.1374182,6.885750931,778,264483,115923,242673,88316,386845,377396,55,46-60,Good
09-07-2021,2121315,14.14045567,7.357677762,613,459032,359035,417188,399166,182697,394031,46,46-60,Neutral
10-07-2021,1325732,15.89785208,7.360296301,679,303061,155341,138634,106670,141795,418395,49,46-60,Excellent
11-07-2021,2325266,14.92553139,9.683253279,919,344585,196830,65309,211713,360235,165375,63,61+,Poor
12-07-2021,6096165,6.02556319,4.118490006,309,275454,52003,457321,111745,190990,195625,57,46-60,Good
13-07-2021,2980182,11.86020539,8.907313819,238,458836,206679,361957,331190,333865,375789,18,18-30,Poor
14-07-2021,2409615,14.9603241,1.196263563,136,334988,350657,241905,197657,375259,385808,32,31-45,Good
15-07-2021,2540845,9.439894732,3.59382667,317,102200,428372,386352,319231,492989,416418,37,31-45,Excellent
16-07-2021,4508395,9.695850308,1.437902038,555,169607,402705,473544,161638,156433,246302,49,46-60,Good
17-07-2021,6945785,6.868513216,6.86083564,611,212661,250155,260686,176041,146999,206083,50,46-60,Good
18-07-2021,9769900,11.27922479,1.907113337,377,95986,337816,417327,353574,174564,117261,59,46-60,Poor
19-07-2021,7566254,19.80245651,8.611361773,279,233158,91819,480646,90711,469891,321146,27,18-30,Excellent
20-07-2021,9002900,9.279790419,6.819325154,616,121646,155408,483799,298786,333617,439576,20,18-30,Good
21-07-2021,3506393,12.97155339,1.259338609,229,144476,212675,348173,151660,353090,315511,57,46-60,Poor
22-07-2021,2946661,16.14855879,7.432996289,744,346729,166707,181477,486532,338302,104365,28,18-30,Poor
23-07-2021,4525762,5.202459063,8.758314525,710,122149,157376,104012,283349,385399,190127,37,31-45,Poor
24-07-2021,2286525,18.50659339,6.950089069,771,349231,158777,446776,259628,362122,390961,58,46-60,Excellent
25-07-2021,8496074,10.79825277,1.274717943,847,188303,427061,61575,93543,179747,331486,69,61+,Neutral
26-07-2021,9075382,18.0367398,8.721275936,758,192286,221550,258467,447687,177049,233403,18,18-30,Good
27-07-2021,3913238,5.584214883,7.592175216,458,380557,131714,146148,77122,166057,308130,24,18-30,Excellent
28-07-2021,3436681,7.184953278,4.406061812,726,147743,395896,63153,306635,354569,235877,19,18-30,Poor
29-07-2021,5639928,9.837941817,3.957672325,103,299774,385922,418304,299997,388437,184591,29,18-30,Poor
30-07-2021,4362739,10.1819266,5.318381633,698,283463,179682,354221,118659,130607,229155,31,31-45,Excellent
31-07-2021,7498495,17.71691335,8.803915758,657,444363,430510,339157,389013,452557,388754,31,31-45,Poor
01-08-2021,6396394,5.168016731,3.268534167,182,295317,188568,187762,101459,207148,223233,51,46-60,Good
02-08-2021,5914907,14.61667665,1.908674301,253,361533,440181,291050,350915,398213,225475,61,61+,Excellent
03-08-2021,5332006,6.969686543,8.781727357,605,166810,78357,268323,381470,448223,337017,45,31-45,Excellent
04-08-2021,7828752,17.34823476,1.23660864,608,188681,304704,242125,82036,249735,196833,19,18-30,Excellent
05-08-2021,3799999,16.67859899,9.1989732,917,431427,96252,430272,105087,142582,333958,51,46-60,Excellent
06-08-2021,4476267,12.49881541,3.751706749,893,321881,474428,378421,216950,456670,414638,33,31-45,Good
07-08-2021,7371083,8.190308383,5.574004315,938,348895,318031,389111,444817,265521,367949,49,46-60,Neutral
08-08-2021,5937655,14.51743086,2.190659723,899,423003,395542,450397,455004,375260,174506,20,18-30,Good
09-08-2021,7653954,7.343874765,9.120294724,722,353046,478072,212377,234001,460539,311199,53,46-60,Poor
10-08-2021,5006812,7.850356889,7.74852601,728,317750,56040,319875,464523,103706,329744,34,31-45,Excellent
11-08-2021,7270455,14.40034853,9.317400279,196,100775,194512,151225,470345,378291,90468,30,18-30,Poor
12-08-2021,6110743,19.86842669,7.14906146,381,438145,178053,155678,244941,251615,91135,41,31-45,Excellent
13-08-2021,9514770,18.36591256,2.662243991,800,225758,424869,253631,193784,199147,301453,54,46-60,Poor
14-08-2021,9871439,13.89661037,3.774403027,699,171914,78371,284937,334447,345978,405279,65,61+,Excellent
15-08-2021,8212357,13.07805153,5.381637176,918,229653,462940,416082,96515,108895,406843,41,31-45,Good
16-08-2021,2234217,19.9757732,6.465323848,698,160397,380023,50910,197076,424202,231227,20,18-30,Neutral
17-08-2021,7147768,13.21095721,9.338134936,637,493090,188260,218542,397842,375395,306099,31,31-45,Neutral
18-08-2021,9099977,11.30174783,4.455563192,991,182167,149542,359485,287889,359544,146036,47,46-60,Excellent
19-08-2021,6845116,18.64333304,7.327648197,528,266819,371724,137718,405917,472677,209729,30,18-30,Neutral
20-08-2021,9437127,8.512764438,9.64907964,642,377406,95216,106850,126025,367253,364134,48,46-60,Good
21-08-2021,6838225,6.462889854,2.371366571,225,267277,253464,210462,432695,386776,233063,51,46-60,Excellent
22-08-2021,2077727,14.51135052,8.764386299,809,395059,334188,376373,132099,326348,257117,70,61+,Good
23-08-2021,7723649,6.437744507,4.786354634,400,72065,60620,376035,332493,243223,99134,29,18-30,Neutral
24-08-2021,1744275,10.59722805,7.591795983,642,360988,332867,160805,358203,277237,130464,22,18-30,Neutral
25-08-2021,9412873,11.35366078,3.641845049,466,480645,353286,447254,240128,155276,164073,63,61+,Good
26-08-2021,5509192,13.21307101,4.005857964,928,262789,91503,209287,238444,326341,211680,68,61+,Excellent
27-08-2021,1285800,19.87489319,1.244199024,843,396847,270083,147101,274751,368469,290495,70,61+,Excellent
28-08-2021,1348760,8.31472585,9.742637379,144,435179,473459,476115,229877,194964,331684,63,61+,Poor
29-08-2021,8385943,10.63634568,8.321073177,592,453303,476076,486232,196757,101912,196685,39,31-45,Good
30-08-2021,9953210,6.983601866,1.845261621,415,317826,249023,203318,484913,369518,434685,28,18-30,Neutral
31-08-2021,2857865,14.11420289,9.995579161,288,174656,185326,230376,414167,395178,422853,48,46-60,Poor
01-09-2021,8328870,15.91509773,6.445221375,151,350873,205582,68862,433162,344065,233478,69,61+,Excellent
02-09-2021,3004650,12.23115235,8.683557742,663,398832,152837,238898,164742,185402,338151,59,46-60,Good
03-09-2021,7766260,8.687469024,1.59994687,431,432592,253124,465716,338153,191792,303895,55,46-60,Excellent
04-09-2021,9509623,14.31332404,4.505060606,598,153508,119937,132224,434830,455449,165105,26,18-30,Good
05-09-2021,5746326,13.08736585,7.026860101,417,385232,213194,393962,160138,150683,245371,61,61+,Good
06-09-2021,9096324,7.567785851,1.957903468,509,175300,397353,441451,168871,241270,127043,35,31-45,Excellent
07-09-2021,7851963,11.08522851,5.400125548,422,369542,472869,445735,69678,456961,240822,50,46-60,Neutral
08-09-2021,3335257,11.52795637,4.984100871,690,66468,224408,318256,86623,227776,398680,33,31-45,Neutral
09-09-2021,2695639,19.73926631,2.94436202,660,122620,201894,444208,63369,268068,345850,47,46-60,Excellent
10-09-2021,9706565,17.73928748,3.702428523,329,93848,384547,306189,478735,291866,222338,54,46-60,Excellent
11-09-2021,9792831,16.01556182,9.70406519,443,200235,96944,317791,274817,238227,428566,30,18-30,Neutral
12-09-2021,4373350,18.33165538,3.597836374,470,383735,86002,290127,411172,410096,203555,53,46-60,Poor
13-09-2021,4349887,16.03226609,2.920835206,655,380349,67517,144550,419893,223899,258616,46,46-60,Neutral
14-09-2021,1703791,18.55102783,5.82588254,391,127564,127366,450813,255977,290016,155382,53,46-60,Good
15-09-2021,3006809,5.818296723,7.038622307,536,116544,322733,173594,92256,297318,420399,58,46-60,Poor
16-09-2021,6980878,11.84099314,7.525838,346,101516,110117,166397,287425,373532,166924,40,31-45,Excellent
