Month,ROI,IRR,Investment Performance,Stocks,Bonds,Real Estate,Mutual Funds,Cryptocurrency,Risk Assessment
2022-03-31,7.0730967475744695,9.751932834074434,7.722195182071431,950858,533654,474837,735857,294568,High
2022-04-30,2.5525500147570677,10.327419454054919,3.963657805899644,682074,194589,238999,311456,168864,High
2022-05-31,2.0956589673429997,7.185592912868291,4.850167404572461,541065,574145,237149,527602,134220,Low
2022-06-30,8.052761001331268,10.141367183318186,6.235557600159414,415257,228205,447380,967859,265538,Low
2022-07-31,8.59697388988449,7.553495585343067,7.372289732208386,285286,613927,515909,89756,442420,High
2022-08-31,7.014805258144739,7.023362513834665,4.962204181076125,625684,505054,795699,494666,726354,Medium
2022-09-30,2.423762537900276,7.7572225094293445,2.6533610493603637,936774,665116,420613,811880,293159,Low
2022-10-31,3.1652916907828477,5.027596485052809,4.212028301007929,506921,616866,967551,385542,559497,High
2022-11-30,9.200581372856005,10.701511120016837,5.302171312640678,983571,320293,505746,315995,796421,Low
2022-12-31,3.598336439197807,8.874800055228432,4.505147635796196,658042,548625,772275,90532,491745,High
2023-01-31,8.369744645774057,13.986890191939302,3.1193343607284207,276010,401270,341029,573556,393024,Medium
2023-02-28,3.5734356001936147,5.4070717361252125,2.221936972059305,678389,237276,451095,834173,132841,Low
2023-03-31,9.455163123910912,5.432003008557501,6.12445199647937,179953,37683,245452,265936,817572,Low
2023-04-30,9.230076215533026,13.858735173125837,7.956423144662855,643469,73269,22157,682495,461018,High
2023-05-31,1.3893685626590917,6.266446422043412,7.515239803379702,921801,344898,394589,242965,377288,Low
2023-06-30,7.933725881806677,5.021601041240018,6.0996254651648805,787474,904094,72214,10748,197129,Medium
2023-07-31,2.5251558421096636,6.789138637130137,7.049178851098575,109889,875762,244563,616474,856248,Medium
2023-08-31,2.9374446331574338,13.23876175097604,3.534365710803159,799372,642755,286029,927327,478624,High
2023-09-30,5.138606910983283,13.027140827601022,5.7346066164706775,417321,984864,117922,120997,113154,Medium
2023-10-31,6.186863347745051,8.40132210843451,2.3636252923937926,262049,126591,410234,52148,746108,High
2023-11-30,3.9321974707344283,11.68030917259852,6.2431035638747465,891012,978268,751550,32297,355957,High
2023-12-31,6.178450289987883,10.072497073358278,7.8192340341456115,598844,932901,89127,597448,844196,Low
2024-01-31,2.5359253420702297,14.04734989845906,7.164783843307154,908444,382346,796821,573865,626515,Medium
2024-02-29,1.2010388894293338,5.564234754174223,5.206645248629823,819221,730309,180731,963449,616716,High
2024-03-31,6.141019495255869,13.131791287366317,6.73244131587666,154290,395459,550807,324516,780783,Medium
2024-04-30,5.65673733966087,6.7059866942746,7.6633928596889875,290030,710391,45224,794568,344033,Medium
2024-05-31,7.206885676683325,8.916208974317593,3.296105467635292,813561,521359,330088,326825,537039,Low
2024-06-30,6.8483985577104205,6.919571514347658,6.759551077864268,438596,241380,295641,430622,56379,High
2024-07-31,9.077377422105599,12.026144095941389,3.6190817478131203,929012,498281,952698,682446,806795,Low
2024-08-31,5.135217581453913,11.783261797532576,7.261684531637999,208378,78269,937272,19890,291371,High
2024-09-30,1.0753252722364781,10.478976016990268,2.5901270341408726,87507,654227,431561,909978,84019,High
2024-10-31,6.675874134371687,11.981630368036551,3.069310513219049,437945,690198,130784,42968,694452,Medium
2024-11-30,7.076191866428966,11.395647806046739,6.323698780830811,139539,782489,938621,989561,642702,Medium
2024-12-31,5.693454904563728,12.764420556842682,3.0486650231794936,675147,509470,572562,693734,911931,High
2025-01-31,7.203743832170942,7.3940665129054866,2.948325811418266,661948,32425,460568,157267,913217,High
2025-02-28,3.9122543191253745,9.289126149407204,5.332801264393232,312663,49119,84931,519917,118505,Low
2025-03-31,2.339274728719713,6.516265293542286,7.009923426254424,790773,502327,282057,57323,321152,Medium
2025-04-30,6.98098297560766,9.29593564220194,3.610804551647774,931162,402417,197835,350824,989126,Medium
2025-05-31,3.2066778629397588,12.016917514203412,7.046829096232909,295505,386508,936289,439525,432134,Low
2025-06-30,5.106843183557844,11.913911607843515,6.847720379275849,884961,454880,480704,82691,992103,Low
2025-07-31,5.424604575504839,12.094269032949429,5.4746324057560125,469217,829557,903533,872169,862617,High
2025-08-31,5.2947959542154965,8.087675286443567,5.8793765221236205,127131,410527,229012,144577,504117,Medium
2025-09-30,6.386042293119602,11.622139737909238,2.242647119671449,429024,176241,306381,594732,633152,Medium
2025-10-31,1.2650833803327297,8.674663195889382,4.2028133498222795,679234,437258,89987,177999,974679,High
2025-11-30,9.907142454370794,14.444920461050497,3.5803695867101153,509856,645255,191919,541368,838161,High
2025-12-31,7.446794265447141,8.433663658803388,2.9000231643648346,426163,961260,565252,940911,784699,Medium
2026-01-31,4.828490036188865,11.030182340443881,4.337955974941889,50284,877572,371754,693673,42034,Low
2026-02-28,2.721970272612199,12.50145714192176,4.129425178084597,790592,288545,277476,753963,600327,Low
2026-03-31,1.721595901990207,14.064074290263411,6.373350068778362,724511,978394,560551,82189,297347,Medium
2026-04-30,7.049713785635098,9.379286034539108,5.5885780428605205,291576,934132,769461,334947,811428,Medium
2026-05-31,3.852600534627025,8.604851082082678,7.478600412812115,341722,998161,319698,658879,906312,Medium
2026-06-30,3.065306124248812,9.30028175316589,2.8724454983350336,620347,234181,685727,972810,566890,High
2026-07-31,4.419589484011001,8.23696351549781,2.358491631941156,931706,123015,677278,495057,718374,Low
2026-08-31,6.336307790269391,11.53924490067314,5.207646724946772,704252,60065,903976,660518,37935,Medium
2026-09-30,7.045346950156012,14.327167640085841,2.0061628316647107,55205,706885,224727,55094,302569,High
2026-10-31,6.806530624190772,6.260710064893668,6.726313658809794,542061,787381,849912,157524,655627,Medium
2026-11-30,8.769390251427762,10.60922064770157,5.035837332110057,814103,389744,204051,505892,72534,High
2026-12-31,2.9688168796310372,13.97648725360331,4.9283934563473615,280445,887896,160815,807815,579504,Low
2027-01-31,6.73071546877422,6.001145446560176,4.174975872345047,662305,828830,477628,461669,876064,Low
2027-02-28,1.910029385674847,9.938654107662808,4.249843016892576,771167,437455,81863,327616,307086,Low
2027-03-31,5.931412209092601,13.65229595860446,4.5868020695039355,173701,340843,319498,406234,13527,Medium
2027-04-30,6.255625622407042,14.004522117120821,2.096194066556181,63971,451863,167986,12653,548281,Low
2027-05-31,2.9461356904075626,10.143521611529165,2.501274723297228,586230,818187,494276,252779,564512,Low
2027-06-30,4.525238169921132,5.249518844677175,5.030288120067422,170071,976573,49709,531635,539711,Medium
2027-07-31,8.444736006254223,6.056391784278217,2.900733591318825,502381,641395,496758,335712,823545,Medium
2027-08-31,2.335681483776671,10.867167452412337,6.672575650081988,531509,101174,501824,34916,577534,Low
2027-09-30,4.910555778542562,6.2385860646634494,3.6469110440271546,498860,510147,77933,936116,724927,High
2027-10-31,9.394597640903067,6.494177769112708,2.587397824095944,346332,625047,528096,880627,823265,Medium
2027-11-30,5.5369803492964085,12.721170977821139,3.411259555420699,224096,413817,287842,503438,941811,Medium
2027-12-31,7.526203406499583,12.506920585755005,4.142589380934729,769038,14017,687811,633064,288072,Medium
2028-01-31,8.441794355999958,13.427727594254717,2.211899651569302,354807,209217,515296,249703,655478,Low
2028-02-29,2.8339693736094325,6.057351365061057,2.850053146317974,28794,42850,115463,210029,842700,Low
2028-03-31,2.963955119796392,6.981448810968177,3.943080526865118,628192,110093,677777,877967,333068,High
2028-04-30,7.827323104885451,13.329614298586506,3.8628828428585846,842968,318931,829386,425529,886075,Low
2028-05-31,7.779760643587609,12.21087608697792,6.802320179359035,998033,969514,859316,384973,91814,Medium
2028-06-30,1.5416498857565717,13.059561278280402,7.059532851875919,870602,998748,435455,645746,429787,Low
2028-07-31,3.902484166254679,14.897456749079218,3.1605115948613,536121,673333,339244,791268,870793,Medium
2028-08-31,4.586792427175943,13.64431606155702,2.7436393034770843,305797,235022,704941,982421,458470,Low
2028-09-30,8.461363631240383,10.204632508497602,5.8049749059285105,680679,374564,896645,137956,296516,High
2028-10-31,4.796760298867637,8.107681847972573,6.827741334172588,275748,39913,495610,745367,506672,Medium
2028-11-30,9.333360013629195,10.69676586574701,7.782338583344789,670717,547644,641061,779348,583940,High
2028-12-31,9.969469994265761,11.385865502344524,2.0407777084790855,419473,121545,683226,175927,712775,High
2029-01-31,8.026535491249147,8.35312141259621,4.482068680560827,38932,113830,722416,574873,797995,High
2029-02-28,6.997480206105318,12.709370374846785,6.403927004566314,465952,324037,31266,693294,30459,High
2029-03-31,4.527074493884106,5.927537926578868,6.971355793246127,596007,993837,229970,296713,191398,High
2029-04-30,1.6033550144683006,12.793928506817098,2.3737156920985867,599703,241902,908279,509967,757070,Low
2029-05-31,6.158248807565176,5.319985186819485,6.083687116784764,74413,959086,183909,423469,99606,Medium
2029-06-30,4.255344149895919,9.979660607214901,3.7336323043938204,983745,555423,778273,369346,529809,Medium
2029-07-31,4.158082682491092,13.614364634832663,2.447581755998752,95141,656707,678012,64868,716496,Medium
2029-08-31,7.189383274384921,5.864952740213976,4.934615490528003,925258,190986,810221,953523,623507,Medium
2029-09-30,5.1727542273697225,10.177389364941696,2.948920059224876,640935,706937,648912,542284,682263,Medium
2029-10-31,7.768844602943051,6.593914389613163,6.422045108370108,655913,218680,415971,302581,315021,Low
2029-11-30,4.583559004168413,13.948157500609353,6.447570798196721,798028,677984,52608,861234,830528,Low
2029-12-31,2.357770469379064,13.323455270336302,7.052406589925056,462231,554535,175764,291915,951084,High
2030-01-31,5.15212773571222,14.339172432934877,4.265412110886513,385819,287651,564955,724527,492129,High
2030-02-28,9.55911262892827,13.749823415300936,2.0798587833838615,40733,914806,864666,584297,810566,High
2030-03-31,8.213721662049025,12.365533098659906,3.5584156302468783,118030,662698,513511,403347,445108,High
2030-04-30,2.8517432956603006,6.848891955885028,4.806870197151661,19757,337169,57929,523626,296046,Low
2030-05-31,4.521704514804484,8.025026156689007,6.164067676496303,936646,158223,396321,553587,298261,High
2030-06-30,9.35012885698484,9.968551583080073,4.2922435141204485,479858,435531,461911,219636,485543,Medium
2030-07-31,2.1132915285390985,10.888967815147236,5.216290376402828,618700,909890,774764,258346,978187,Low
2030-08-31,3.285552176784424,12.8218339531321,5.145581524734301,822349,434320,233415,504894,715135,Medium
2030-09-30,3.3600038128470677,7.2695962818706095,2.989894096149899,107054,97521,90789,962303,12766,Low
2030-10-31,6.138395880957852,6.282773941469633,5.738297000480077,199147,957802,89671,568981,981303,High
2030-11-30,4.696599877401905,9.82610170593636,4.635510369232387,735229,271220,757500,700129,848411,High
2030-12-31,1.718836065966699,6.578414108729206,6.8475122099149575,960810,570241,854993,407593,997455,Low
2031-01-31,6.662633091193772,11.937368023295722,6.143667248773399,657139,68364,992806,819451,695101,Low
2031-02-28,1.8917007806813517,10.756308900917173,2.668815117185328,190992,328725,354335,692263,631808,Medium
2031-03-31,6.457734387811703,12.411077970188847,4.932550460219411,169373,857269,126011,546051,271389,Low
2031-04-30,5.563075422034233,5.634365596551085,6.214966150965124,721417,27461,378199,263126,731562,Medium
2031-05-31,5.443017946527814,14.646975604442037,2.5220703548440557,978777,185291,549405,15494,414516,Low
2031-06-30,1.6074662076930684,5.000055366757381,6.754982195339789,310465,742698,94872,283707,766940,High
2031-07-31,6.752984021951823,8.254424150135348,3.332027087866397,615481,118271,26714,236188,560648,High
2031-08-31,4.881882327303978,11.796347933662398,5.0185087728421385,85462,809933,441855,567721,802037,Low
2031-09-30,4.699955100571179,5.451420738621189,7.643367724835816,694327,807502,980213,302138,633725,Low
2031-10-31,6.368062567766832,5.83349581357607,5.4280054089337035,337693,634482,414075,360762,191733,Medium
2031-11-30,6.456232539518927,5.766814372282203,4.544326710223684,735603,929130,217346,392273,578637,High
2031-12-31,1.1352996618578968,10.815097267209794,2.0407695643948562,791914,480562,218271,334717,650834,Medium
2032-01-31,2.12703311082886,13.959253150385381,2.8004817366444685,362446,861001,771228,290174,462175,Medium
2032-02-29,3.128663987602486,10.554369777122618,5.471983310587926,671353,573702,994867,874726,589659,High
2032-03-31,7.101796000113812,11.035713522796717,4.962950243922429,193088,38860,413243,997547,923165,Medium
2032-04-30,6.190670143266468,8.460016512079894,4.1829750538809884,500916,171532,500595,334096,571761,Low
2032-05-31,7.818662191462784,5.187411586555323,7.539295312364704,499577,650547,266080,982255,654593,High
2032-06-30,7.665470249894712,5.216147177512164,3.994895224555645,173209,760437,624157,535451,112878,Low
2032-07-31,8.678645822855357,13.883099664809112,5.22290453866464,918725,128363,383596,209533,288438,Medium
2032-08-31,4.391333751451726,6.025724387196467,5.41228045714478,341782,920903,140041,33217,276827,Medium
2032-09-30,4.1055747956497255,14.997893718125955,5.164810340383536,273248,856402,541472,500420,398889,Low
2032-10-31,8.47913862748117,6.64422611511278,4.865512349240595,832012,64584,951760,951559,498016,High
2032-11-30,3.1384138048046606,11.746344439551894,4.022382416071449,573187,860718,844771,352075,635003,Low
2032-12-31,5.150551363062463,14.489554721809055,7.452581798237717,977307,270226,54896,351174,567364,High
2033-01-31,2.748930868200248,8.622892776420263,4.704819570554869,639220,604597,28557,956594,161818,High
2033-02-28,9.224566679252924,12.344331887479894,5.170693204076454,167028,572100,958021,572108,81712,Low
2033-03-31,4.670227117869629,8.50856643442335,5.938867902981454,597062,793923,374157,376361,110136,Medium
2033-04-30,2.9123820840774557,8.049410567614453,2.405936254589208,762547,890791,206737,284334,32567,Low
2033-05-31,7.228120515120208,7.0180408257543885,6.6877288487794715,385289,449193,222624,199240,88509,Low
2033-06-30,3.201802103894308,13.209349068988645,5.075043860516214,516374,707448,65039,842395,705007,High
2033-07-31,9.491532428532011,7.5738706360914785,5.9430616150698015,640423,939134,470310,286356,288238,Low
2033-08-31,4.308553133284704,7.831581629058576,6.632072392482148,354865,52075,479205,500722,557082,Medium
2033-09-30,6.981766408916535,14.989697421987774,7.244596344585287,124301,653784,881552,325782,798432,Low
2033-10-31,4.107204380416721,8.273104354453197,4.353322501717585,63696,989748,941339,181151,674218,Medium
2033-11-30,8.265210246941264,9.227744888320489,6.868579356093531,540716,151172,46492,459247,75287,Low
2033-12-31,9.072304669204982,14.900554577748348,3.5530213733954104,353321,206314,586973,986435,699812,Medium
2034-01-31,8.091265234733076,8.693003454174262,5.9620139057441985,675673,563391,916185,743844,91120,Low
2034-02-28,8.63649116854768,8.66152007235867,2.616243804077836,511696,925010,396827,42794,203918,Medium
2034-03-31,1.916927451438724,13.277144662138602,2.1201828045444513,538428,521656,512840,886263,441601,Medium
2034-04-30,9.316582093297598,8.11930368487692,2.5745787566758382,486688,830528,14693,94590,541070,Medium
2034-05-31,6.6187065598775225,7.337861036424072,3.9162949193748546,537080,210731,582689,736523,373524,Low
2034-06-30,8.822957789495797,9.232102551753222,2.186567682947986,864691,502831,166262,795998,408332,Medium
2034-07-31,7.15993087766874,12.006408005761928,5.782947633123575,621784,899186,660578,343590,837837,Low
2034-08-31,2.816629016893394,5.432430249792654,3.899267230293589,208630,87766,173677,321422,407599,Medium
2034-09-30,6.485995914811089,8.739160272185668,6.4182564062857885,784718,527958,687006,879831,984680,Medium
2034-10-31,1.818516157508269,8.462449019458404,2.2754908176176336,461990,790244,186550,135208,559945,High
2034-11-30,7.261507271963427,7.448183472620326,3.300209399284989,898924,546095,299101,318618,425386,Medium
2034-12-31,4.681010269725156,11.54287335904345,4.448020551978192,434257,766389,126552,165966,416297,Medium
2035-01-31,2.365598557901881,7.899900804136774,4.295909373764277,823521,591011,485076,946376,341431,High
2035-02-28,9.813068342815727,11.067315590080028,2.785992037018043,272747,44951,986800,764004,580908,Low
2035-03-31,9.10975981789613,10.043368414546268,7.964820881489942,737924,811859,230292,317893,665304,Medium
2035-04-30,9.041893420629284,7.171898708258986,3.7066374850030157,541438,534441,382567,284550,107361,Medium
2035-05-31,8.099382757170275,7.6656605704218155,6.326192507908779,647481,589022,180247,866841,383510,High
2035-06-30,7.22783012629166,6.70600053306564,3.320160183270309,66048,73813,47010,352705,279929,High
2035-07-31,6.895715322630207,5.566292148509579,7.267107264356504,231510,338495,282395,524760,22564,High
2035-08-31,1.9548445393346978,11.191884631049115,4.3265498608981545,775694,404335,32343,956175,556767,High
2035-09-30,9.105096117866088,11.727886939143344,7.405414933934627,818778,201684,884375,400511,924370,Low
2035-10-31,8.930155566741494,6.6599999360867,4.051009517803826,91478,225147,81734,907408,198255,Low
2035-11-30,7.730673638723681,11.153923846860733,2.051862928981481,198202,965437,106485,868069,240921,Medium
2035-12-31,9.345834631676103,14.820847400575781,5.102122586470768,602599,863177,648931,896341,218445,Low
2036-01-31,5.977751062581929,5.744020949378221,5.148727616906578,761414,598098,973705,359341,768495,High
2036-02-29,5.028781012457999,9.903708724988636,2.719005096731814,406855,229420,496632,943686,218007,Low
2036-03-31,9.711526619496508,12.330382136438537,3.4097814405157543,100702,371554,306529,793969,954863,Low
2036-04-30,5.177180690178905,5.460091978297269,6.700973545888096,191662,745881,48848,966108,362369,Medium
2036-05-31,6.77191996960442,12.782734939976157,2.2205349477719554,136450,695382,382682,595813,494099,Low
2036-06-30,4.357559321725951,14.795112370928859,4.937160120120083,862818,823804,646462,204437,417708,Medium
2036-07-31,6.726936034177551,5.8848786353275315,5.182448740481377,321735,137424,929403,307320,228507,Medium
2036-08-31,7.480890960631189,13.222299054659253,6.132272364056744,607624,900000,746034,398077,420612,Medium
2036-09-30,6.621899727596954,8.785815445120942,2.2247376044008114,917977,612389,110338,406055,394228,Low
2036-10-31,5.63106647094578,6.441162024340118,5.513877962542783,606399,823667,775427,502628,300403,Medium
2036-11-30,3.700997178627096,9.931932091963477,2.018588219469099,53955,600861,810415,866422,335886,Medium
2036-12-31,6.79461108522601,5.715187357812157,3.5910702037351436,104535,865301,32706,393702,988098,Low
2037-01-31,9.175860057352265,10.221014081671843,4.998105531898887,400400,747693,246905,234388,476706,High
2037-02-28,1.0622133205270061,5.193567880040496,7.467688024553702,462225,643325,738271,679574,723956,Medium
2037-03-31,2.2053612468672137,12.286114416727303,2.7595388960332126,750188,431934,30357,165010,50302,High
2037-04-30,2.0779584264987014,9.879696858115885,3.0157347740196507,826681,634531,823960,627612,922414,Low
2037-05-31,9.308847726035689,9.589396609351805,6.015500386302966,293721,223647,39223,728773,128891,Low
2037-06-30,6.964729200663533,6.961914937420836,4.249170162934393,388089,811987,59877,776398,325673,Low
2037-07-31,9.566092958231355,8.612631557947656,5.740528411537231,159000,172560,767167,271195,668028,High
2037-08-31,6.245319458911855,6.818694324216663,7.984725002805602,781953,553151,54487,175765,295061,Medium
2037-09-30,5.155596074433284,12.353901005357393,7.921229968093124,171310,923173,910599,156529,435500,High
2037-10-31,8.131086206329261,6.990252994330273,4.122281476966529,54639,494675,673391,48862,626976,High
2037-11-30,2.4484804072770214,11.167533270517149,5.023552122948996,828433,949809,691113,623841,710410,Low
2037-12-31,4.432043046855893,7.796075010677521,7.428140951776359,28199,631499,890629,756550,429219,High
2038-01-31,5.196468164808015,11.569821959233272,2.553005974451345,897012,648380,87137,653376,373689,Medium
2038-02-28,3.686125550609064,10.404549589213422,4.713823423021083,726020,131208,225332,667336,600701,Medium
2038-03-31,4.3415705116763075,9.2343863165272,4.265464089898754,339130,963878,282819,791058,912318,Low
2038-04-30,1.702946682319764,11.730008334104715,3.7692966359659836,894421,801635,442523,981285,680793,High
2038-05-31,2.7818523050460215,9.157220716082291,7.965225271534089,795863,333326,579509,716594,567509,Medium
2038-06-30,4.019470482978356,13.213706025750326,6.401295763834266,757519,172839,520945,531755,194828,Low
2038-07-31,8.163013899098209,12.29598458235266,4.332481954357532,498167,112362,955603,759032,232447,Medium
2038-08-31,2.6424761935857752,10.406389945130812,6.974131349992514,375354,965276,236063,283065,651119,Medium
2038-09-30,4.119763365858022,13.770606825859971,4.937996604272341,867816,720980,99020,723867,382225,Medium
2038-10-31,1.5842825937724168,13.288618214680554,7.236946474207152,165821,116319,322855,920326,180185,Low
2038-11-30,6.013939103439454,10.318393946204992,3.5982790737834702,486258,682059,714461,891280,115508,High
2038-12-31,6.50125799326835,5.684476937007975,3.3416013643223925,479504,42293,944288,334707,677738,High
2039-01-31,8.789648171159502,10.659963521992442,3.483720087484685,140171,491199,833410,565997,202744,Low
2039-02-28,8.372043986517678,8.552569895602854,5.230883456750314,495370,395244,825454,275588,154018,High
2039-03-31,3.568401592154925,10.401129428037342,3.7478803469308084,738180,425641,619539,829958,455426,Low
